CODFILIAL,SEGMENTO,CATEGORIA,CATEGORIA2,FATURAMENTO,MARGEM,Mes
02,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,10443,13.8500810112037%,Abr
13,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,12206.5,23.7312049317986%,Abr
11,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,13044,40.3632086783195%,Fev
24,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,13413.8,23.7814242794734%,Jan
15,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,15371,25.7518419100904%,Abr
24,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,19837,29.3559119826587%,Abr
24,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,22739,33.7299333743789%,Fev
15,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,26632,12.4870559852809%,Jan
02,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,26725,17.7876240224509%,Fev
09,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,26983.42,24.0290402032063%,Abr
02,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,29776,18.4836726894142%,Jan
11,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,33776,28.4923418699668%,Mar
15,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,35264.1,18.1972182758102%,Fev
21,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,40791,10.5494788311147%,Fev
24,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,40816.44,33.5778648995356%,Mar
13,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,45544.65,10.5944369975398%,Mar
05,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,49069.46,29.3407055630937%,Abr
10,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,50443,28.7320931150011%,Abr
04,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,61991.02,9.34662759218996%,Abr
02,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,67151.7,12.8311140596589%,Mar
13,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,76515.23,8.91500170619626%,Fev
21,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,89119.7,27.9508228371505%,Jan
13,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,127451.5,23.5100770253783%,Jan
09,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,154633.25,20.2571255923289%,Jan
15,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,155933,5.12142105263157%,Mar
09,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,216927.17,27.6468256880869%,Fev
09,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,229270.01,26.0710415723364%,Mar
04,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,246355.16,28.7366073436417%,Fev
04,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,253914.38,23.0182475762105%,Jan
05,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,281527.4,25.7654727816902%,Jan
05,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,293730.76,23.5353019853966%,Mar
05,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,294307.22,22.4850458612603%,Fev
03,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,300956.4,0%,Mar
04,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,320654.61,21.3881322710439%,Mar
10,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,391332.59,44.3458831297438%,Jan
10,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,398688.45,40.4545592354129%,Fev
10,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,458299.44,35.5928293279171%,Mar
13,FLV NACIONAIS,TOMILHO,FRUTAS/FRUTOS,6,33.3333333333333%,Abr
13,FLV NACIONAIS,TOMILHO,FRUTAS/FRUTOS,15,33.3333333333333%,Fev
13,FLV NACIONAIS,TOMILHO,FRUTAS/FRUTOS,21,33.3333333333333%,Jan
13,FLV NACIONAIS,TOMILHO,FRUTAS/FRUTOS,51,33.3333333333333%,Mar
04,FLV NACIONAIS,TOMILHO,FRUTAS/FRUTOS,80,-33.2492625%,Jan
13,FLV NACIONAIS,TOMILHO,TEMPEROS,234,10.8736965811966%,Abr
13,FLV NACIONAIS,TOMILHO,TEMPEROS,355.5,11.1111111111111%,Jan
13,FLV NACIONAIS,TOMILHO,TEMPEROS,513,11.1111111111111%,Mar
13,FLV NACIONAIS,TOMILHO,TEMPEROS,535.5,11.1111111111111%,Fev
04,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,-44.1,27.874081632653%,Fev
05,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,-24,31.6666666666667%,Mar
04,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,11.8,53.1830508474576%,Abr
13,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,12,36.5239166666667%,Fev
10,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,21,46.2533333333333%,Mar
04,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,22.8,61.8251754385965%,Mar
04,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,70.5,66.6640283687943%,Jan
23,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,72,33.3333333333333%,Abr
21,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,100,94.9095%,Jan
05,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,114,31.6666666666667%,Abr
13,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,116,30.8316982758621%,Mar
05,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,132,31.6666666666667%,Fev
05,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,214.35,27.9216235129461%,Jan
02,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,231,35.0649523809524%,Abr
09,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,317.47,24.370806690396%,Mar
13,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,364.5,24.8085377229081%,Jan
05,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,396.25,30.6750788643533%,Jan
05,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,616.25,30.2393509127789%,Mar
05,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,616.6,30.3924748621473%,Fev
16,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,616.8,22.8274967574578%,Mar
13,FLV IMPORTADOS,TOMATE,FRUTAS/FRUTOS,855,28.2012877192982%,Jan
04,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,1044.99,38.0947530598379%,Abr
13,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,1397.6,27.3459723812249%,Abr
23,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,1967.4,14.560175866626%,Fev
13,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,3167.3,29.2564916490386%,Fev
04,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS,3765.17,44.3081964426573%,Abr
13,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,4017.7,27.2114886626677%,Mar
04,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,4411.8,64.2288474092207%,Fev
23,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,4593.8,31.2744264008011%,Mar
13,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,4877.6,34.9305611366246%,Jan
23,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,5134,22.344425009739%,Jan
04,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,5140.66,52.8567053646808%,Mar
02,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,6569.8,28.034338944869%,Jan
21,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,10654.98,25.5374647348001%,Abr
24,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,12439.75,12.9008153700838%,Abr
15,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,15105.4,27.244561547526%,Fev
04,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS,16118.74,44.7462104978429%,Mar
04,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS - ORGANICOS,18859.15,36.9779990614635%,Jan
04,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS,19455.36,48.0866669133853%,Jan
21,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,21529.74,7.1084373057919%,Mar
04,SEGMENTO ORGANICOS,TOMATE,FRUTAS/FRUTOS,21670.13,43.3244192812872%,Fev
24,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,21909.97,-13.8989426274887%,Fev
15,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,22177.7,31.7083867127791%,Jan
15,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,22661.5,56.1846909074863%,Abr
13,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,24024.5,45.7828064267727%,Abr
24,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,25582.73,28.1722857568367%,Mar
02,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,27499.6,20.3218716635878%,Fev
24,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,34897.03,33.8799346821205%,Jan
02,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,41724.06,24.6854481323246%,Mar
11,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,44379.09,38.869188755335%,Abr
15,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,60691.5,32.6210986217181%,Mar
11,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,65834.06,29.8870403101373%,Fev
11,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,76222.79,32.5984965257766%,Jan
10,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,78448.54,27.2989183992462%,Abr
11,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,80167.14,24.8207018736105%,Mar
09,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,87753.36,43.4160254832408%,Abr
13,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,87853.23,39.7464445644172%,Fev
13,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,90845.3,44.8780209653113%,Jan
21,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,98363.32,37.1742320003026%,Fev
13,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,107459.36,30.7617665227115%,Mar
21,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,137333.25,15.1948315065725%,Jan
09,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,237996.62,29.959446344238%,Fev
04,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,269352.18,40.7132012148556%,Abr
10,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,275355.85,32.1960966291437%,Fev
05,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,277359.95,32.0747049420798%,Abr
09,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,282254.59,25.6808500474697%,Jan
09,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,300808.42,27.3280364991113%,Mar
10,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,312963.71,28.4582047100605%,Mar
10,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,315006.76,40.910491441517%,Jan
04,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,607598.62,32.1039338799027%,Jan
05,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,619728.54,27.9880401038171%,Jan
05,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,674263.16,35.8637821722308%,Fev
04,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,702969.25,32.4541205792431%,Fev
05,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,1073451.21,38.5812076703517%,Mar
04,FLV NACIONAIS,TOMATE,FRUTAS/FRUTOS,1205120.26,36.3068554867711%,Mar
02,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,-1090,35.7798165137615%,Abr
21,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,-214.2,12.9669327731092%,Mar
23,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,48,26.25%,Fev
12,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,380,34.8206184210526%,Mar
16,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,486,16.6666666666667%,Fev
12,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,740,33.1789824324324%,Abr
16,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,944,23.8347457627119%,Jan
15,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,1126.4,30.1212713068182%,Fev
02,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,1580,34.1772151898734%,Mar
24,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,1888.62,19.3696985100232%,Jan
10,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,2665.8,12.5766505364243%,Abr
24,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,2781.43,-67.7275361954103%,Mar
13,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,3709,49.6645961175519%,Abr
21,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,4813.2,22.9337349372559%,Fev
24,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,4843.36,-47.6780350830828%,Fev
13,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,5364.5,31.7310265635194%,Jan
05,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,7650.74,32.0435551332289%,Jan
09,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,7685.9,24.0855532858871%,Abr
13,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,9178.5,41.8085318951899%,Fev
05,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,10449.1,29.0193942061995%,Abr
05,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,10636.85,24.2215285540363%,Mar
21,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,10780.12,15.6217512421012%,Jan
11,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,10862,29.2440714417234%,Jan
11,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,11981.5,34.2868628301965%,Abr
13,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,16391.4,46.7434696243152%,Mar
04,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,16832.34,12.3307347047411%,Abr
04,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,16985.12,31.3648699567621%,Jan
10,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,17083.9,52.437783293042%,Fev
05,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,18755.91,26.5594585386686%,Fev
11,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,23886,30.3342251528091%,Fev
04,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,27742.09,31.3638900674031%,Fev
09,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,35802.91,22.2058015954569%,Jan
10,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,36997,40.6190471659864%,Jan
09,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,45301.03,21.3027073777351%,Mar
09,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,45771.65,23.3882456717204%,Fev
11,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,46688.8,24.848372800329%,Mar
12,FLV IMPORTADOS,TANGERINA,FRUTAS/FRUTOS,75007,9.87723739117682%,Fev
10,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,92181.95,29.7834238698574%,Mar
04,FLV NACIONAIS,TANGERINA,FRUTAS/FRUTOS,96933.09,14.7050571172342%,Mar
12,FLV IMPORTADOS,TANGERINA,FRUTAS/FRUTOS,128596,35.6576341254782%,Abr
12,FLV IMPORTADOS,TANGERINA,FRUTAS/FRUTOS,330673,33.6194446749508%,Mar
12,FLV IMPORTADOS,TANGERINA,FRUTAS/FRUTOS,427264,24.3477935445065%,Jan
10,FLV NACIONAIS,TAMARINDO,FRUTAS/FRUTOS,4950,32.7647488888889%,Abr
10,FLV NACIONAIS,TAMARINDO,FRUTAS/FRUTOS,6764.2,65.1802452618196%,Jan
10,FLV NACIONAIS,TAMARINDO,FRUTAS/FRUTOS,16183.2,47.1517035567749%,Mar
10,FLV NACIONAIS,TAMARINDO,FRUTAS/FRUTOS,16634.4,54.405380055788%,Fev
24,FLV NACIONAIS,TAMARILLO,FRUTAS/FRUTOS,15,-26%,Fev
04,SEGMENTO ORGANICOS,TAMARILLO,FRUTAS/FRUTOS,21.76,9.50165441176474%,Jan
24,FLV NACIONAIS,TAMARILLO,FRUTAS/FRUTOS,25,-97.92%,Jan
09,FLV NACIONAIS,TAMARILLO,FRUTAS/FRUTOS,64,-133.0644375%,Jan
04,SEGMENTO ORGANICOS,TAMARILLO,FRUTAS/FRUTOS,103.82,38.72685417068%,Fev
04,SEGMENTO ORGANICOS,TAMARILLO,FRUTAS/FRUTOS,136,36.6632352941177%,Mar
11,FLV NACIONAIS,TAMARA,FRUTAS/FRUTOS,200,42.5%,Mar
12,FLV IMPORTADOS,TAMARA,FRUTAS/FRUTOS,1695,32.7657256637168%,Abr
12,FLV IMPORTADOS,TAMARA,FRUTAS/FRUTOS,13161,19.9641423144138%,Jan
12,FLV IMPORTADOS,TAMARA,FRUTAS/FRUTOS,26174,29.6724278673493%,Fev
12,FLV IMPORTADOS,TAMARA,FRUTAS/FRUTOS,127668,30.0419712770624%,Mar
04,SEGMENTO ORGANICOS,SERIGUELA,FRUTAS/FRUTOS,30.02,38.7241838774151%,Jan
24,FLV NACIONAIS,SERIGUELA,FRUTAS/FRUTOS,48,9.16666666666667%,Jan
13,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,-517.5,-107.268355555556%,Jan
24,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,30,-28.6666666666667%,Jan
05,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,76.130000000001,-371.915105740174%,Jan
21,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,147.6,21.5785907859079%,Fev
05,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,300,26.76582%,Mar
16,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,304,13.1578947368421%,Fev
16,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,338,20.7100591715976%,Mar
23,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,386,50.4892797927461%,Fev
21,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,390,-21.8286128205128%,Jan
15,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,502.6,48.2690011937923%,Fev
13,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,513,23.976604288499%,Abr
23,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,533.5,19.4219212746017%,Jan
11,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,635,13.3858267716535%,Mar
13,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,689.6,-37.1775565545244%,Fev
13,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,731,-2.59917920656634%,Mar
11,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,750.6,18.9342912336797%,Jan
24,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,775,16.3096774193548%,Fev
23,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,805.2,25.6851800794834%,Mar
23,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,925,27.9174962162162%,Abr
09,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,945.92,17.510662635318%,Abr
09,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,1253.84,40.8759522746124%,Fev
04,SEGMENTO ORGANICOS,ROMA,FRUTAS/FRUTOS,1472,34.1299748641304%,Abr
09,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,2208.4,37.7973410614019%,Jan
10,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,2345,30.2169313432836%,Abr
05,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,2622.55,26.3483441688433%,Fev
16,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,4955.5,21.1464140853597%,Jan
10,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,5672.1,33.0960222845154%,Fev
09,FLV NACIONAIS,ROMA,FRUTAS/FRUTOS,5760.26,25.0644568127133%,Mar
04,SEGMENTO ORGANICOS,ROMA,FRUTAS/FRUTOS,6924.55,26.8519697308851%,Mar
04,SEGMENTO ORGANICOS,ROMA,FRUTAS/FRUTOS,7290.3,44.2616276422095%,Fev
