CODFILIAL,SEGMENTO,CATEGORIA,CATEGORIA2,FATURAMENTO,MARGEM,Mes
04,FLV NACIONAIS,OVO,OVOS,327606.8,14.8411661601652%,Jan
04,FLV NACIONAIS,OVO,OVOS,477042.65,16.7709203506226%,Fev
05,FLV NACIONAIS,OVO,OVOS,577880.76,15.8941597380747%,Jan
05,FLV NACIONAIS,OVO,OVOS,597105.31,20.0808067374246%,Fev
04,FLV NACIONAIS,OVO,OVOS,602037.89,17.6602131437276%,Mar
05,FLV NACIONAIS,OVO,OVOS,611319.51,21.0413531886132%,Mar
02,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,-303.2,18.1575791556728%,Jan
16,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,25,-18.65892%,Jan
04,SEGMENTO ORGANICOS,NECTARINA,FRUTAS/FRUTOS,71.1,34.7254149085795%,Mar
13,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,89,22.3584157303371%,Jan
24,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,100,29.78178%,Mar
21,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,132,29.8522727272727%,Fev
02,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,174.1,33.3999023549684%,Mar
15,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,269.1,64.6971386101821%,Jan
15,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,681,40.3298208516887%,Fev
21,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,681.6,-4.29705545774648%,Jan
23,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,765,-39.4113477124183%,Mar
16,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,785.7,10.6529209621993%,Mar
15,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,835,14.8566958083832%,Mar
16,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,1125.9,19.744204636291%,Abr
23,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,1308,18.990373088685%,Jan
12,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,1495,31.7261598662207%,Mar
02,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,1612.92,35.5468535327233%,Fev
23,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,2050,16.8244185365854%,Fev
01,FLV IMPORTADOS,NECTARINA,FRUTAS/FRUTOS,2200,21.2969395454546%,Fev
13,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,2857.25,37.4519461020212%,Mar
10,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,4984.09,36.0438358857886%,Abr
11,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,6676.86,27.1278139724362%,Abr
09,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,8672.18000000001,28.4644269376329%,Abr
16,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,9922.5,25.0289745527841%,Fev
01,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,10920,18.2435369047619%,Mar
05,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,11488.08,25.56489883427%,Abr
11,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,11598.68,25.1769403070004%,Jan
12,FLV IMPORTADOS,NECTARINA,FRUTAS/FRUTOS,12510,22.6176520383693%,Jan
09,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,14239.02,28.8863093106127%,Jan
05,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,22459.44,19.4966557937332%,Fev
09,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,23984.5499999999,25.7951295729959%,Mar
12,FLV IMPORTADOS,NECTARINA,FRUTAS/FRUTOS,25976.8,29.4900528163592%,Abr
04,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,27125.17,25.6796054365742%,Jan
05,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,28730.31,16.3865661386875%,Jan
09,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,29651.7199999999,2.2362291630973%,Fev
11,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,35379.61,24.7541107999778%,Fev
10,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,39566.3,44.2821057313926%,Fev
10,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,39974.65,32.7158386127208%,Mar
05,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,40958.2,24.8642408357789%,Mar
11,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,45166.93,22.6139021403491%,Mar
12,FLV IMPORTADOS,NECTARINA,FRUTAS/FRUTOS,45310,13.9515258662546%,Fev
04,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,45756.01,40.7872976030908%,Abr
10,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,53135.15,35.3904001212003%,Jan
12,FLV IMPORTADOS,NECTARINA,FRUTAS/FRUTOS,92225,34.1167242938466%,Mar
04,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,123345.94,32.0191656247463%,Fev
04,FLV NACIONAIS,NECTARINA,FRUTAS/FRUTOS,229172.550000001,39.1894243093253%,Mar
05,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,-423,36.8605460992908%,Mar
13,SEGMENTO ORGANICOS,MORANGO,FRUTAS/FRUTOS,24,19.1176666666667%,Jan
13,SEGMENTO ORGANICOS,MORANGO,FRUTAS/FRUTOS,24,32.729625%,Fev
02,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,35.6,29.7752808988764%,Jan
04,SEGMENTO ORGANICOS,MORANGO,FRUTAS/FRUTOS - ORGANICOS,50,100%,Mar
13,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS - ORGANICOS,78,7.64666666666667%,Abr
02,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,100,46.6348%,Abr
13,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS - ORGANICOS,106.2,32.2431826741996%,Mar
02,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,107.6,43.8244981412639%,Fev
02,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,114,35.0877192982456%,Mar
13,SEGMENTO ORGANICOS,MORANGO,FRUTAS/FRUTOS - ORGANICOS,352.75,16.9396314670447%,Abr
13,SEGMENTO ORGANICOS,MORANGO,FRUTAS/FRUTOS - ORGANICOS,566.55,28.0420262995323%,Jan
23,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,601.6,2.41407413563831%,Abr
10,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,647.6,22.3373826436072%,Abr
11,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,764,11.0149554973822%,Abr
09,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,1013.68,38.6723127614237%,Jan
15,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,1110,18.9189189189189%,Mar
13,SEGMENTO ORGANICOS,MORANGO,FRUTAS/FRUTOS - ORGANICOS,1226.3,24.4629862187067%,Fev
09,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,1256.8,26.3208147676639%,Fev
23,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,1350,8.29222222222223%,Jan
10,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,1440.92,13.6341878799656%,Mar
13,SEGMENTO ORGANICOS,MORANGO,FRUTAS/FRUTOS - ORGANICOS,1508.05,40.034587049501%,Mar
10,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,1641.16,32.1214336201224%,Fev
10,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,2084.84,32.4855998541855%,Jan
23,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,2568,12.8278929127726%,Fev
23,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,4511.4,11.4686489781443%,Mar
11,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,4648.2,34.9014472268835%,Fev
13,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,4941,-4.56701922687715%,Abr
11,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,8126.4,21.8656932959244%,Mar
05,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,9017.36,40.3561726492012%,Jan
13,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,10049,22.4308408796895%,Fev
13,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,10410.2,11.8865022766133%,Jan
11,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,11595,35.5501613626563%,Jan
13,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,12135.7,14.7647339667263%,Mar
05,FLV NACIONAIS,MORANGO,FRUTAS/FRUTOS,26722.96,33.2120994455705%,Fev
13,FLV IMPORTADOS,MORANGA,FRUTAS/FRUTOS,44,43.1115909090909%,Jan
24,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,70,86.25%,Mar
23,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,76.41,20.0661431749771%,Mar
24,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,100,25.2%,Fev
23,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,170,21.1764705882353%,Fev
23,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,174,31.0344827586207%,Jan
21,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,196,51.9167806122449%,Fev
04,SEGMENTO ORGANICOS,MORANGA,FRUTAS/FRUTOS,200,36.73111%,Mar
13,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,285.07,22.8994527659873%,Abr
04,SEGMENTO ORGANICOS,MORANGA,FRUTAS/FRUTOS,300,37.0066666666667%,Fev
09,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,306.65,7.62027392793089%,Abr
05,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,353.2,56.7197621744054%,Abr
04,SEGMENTO ORGANICOS,MORANGA,FRUTAS/FRUTOS,400,34.3795375%,Jan
13,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,510.79,43.6183539223556%,Fev
13,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,592.59,45.1164430719384%,Mar
13,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,625.7,41.257983058974%,Jan
04,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,737.2,50.4581592512208%,Abr
09,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,1274.72,21.2015171959333%,Fev
10,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,1680.12,20.1064590624479%,Abr
05,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,1883.27,33.2389269727655%,Fev
09,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,2169.65,27.4420081579978%,Jan
09,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,2562.4,26.7965707930066%,Mar
05,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,2669.38,44.9071327424346%,Jan
04,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,3257.44,9.08142651898423%,Fev
05,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,3319.3,54.5601985358359%,Mar
04,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,3801.97,33.9152755019109%,Jan
04,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,4635.96,10.9920415620497%,Mar
10,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,8665.6,37.9538583594903%,Fev
10,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,9040.62,33.1601408974163%,Jan
10,FLV NACIONAIS,MORANGA,FRUTAS/FRUTOS,13315.15,26.6847252190175%,Mar
23,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,10,22%,Fev
04,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,23,88.6513043478261%,Fev
04,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,29.2,32.083595890411%,Mar
15,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,42.5,97.6470588235294%,Jan
13,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS - ORGANICOS,60,35.4242833333333%,Fev
13,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,84,0%,Abr
24,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,105,-37.2%,Jan
13,SEGMENTO ORGANICOS,MIRTILO,FRUTAS/FRUTOS - ORGANICOS,160,29.73214375%,Jan
13,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,163.25,18.2235834609495%,Fev
16,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,228,24.8421052631579%,Jan
16,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,240,23.025%,Fev
13,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,338,-3.96523668639053%,Mar
05,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,394.8,38.3862234042553%,Abr
13,SEGMENTO ORGANICOS,MIRTILO,FRUTAS/FRUTOS - ORGANICOS,483.5,29.4962895553258%,Fev
10,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,489.4,4.81866162648141%,Mar
16,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,502.8,9.73747016706443%,Abr
13,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,547,14.7512888482633%,Jan
16,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,639.6,34.155722326454%,Mar
13,SEGMENTO ORGANICOS,MIRTILO,FRUTAS/FRUTOS - ORGANICOS,705,29.6083276595745%,Mar
05,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,788.1,32.4202702702703%,Fev
10,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,1262.8,7.31944567627494%,Fev
02,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,1337,-264.628271503366%,Jan
10,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,1836.8,29.8414111498258%,Jan
04,SEGMENTO ORGANICOS,MIRTILO,FRUTAS/FRUTOS,1853.96,41.1089074197933%,Abr
04,SEGMENTO ORGANICOS,MIRTILO,FRUTAS/FRUTOS,2205.02,136.08628085006%,Fev
11,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,2425,15.8762886597938%,Abr
05,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,2600.8,40.9203087511535%,Jan
09,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,2640.42,87.4808916763242%,Abr
05,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,2984,29.9201598525469%,Mar
09,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,3609.2,57.5357478111493%,Jan
09,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,5817.9,13.1266192268689%,Fev
09,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,6322.26,36.5851847282459%,Mar
11,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,7851,21.2195575085976%,Jan
04,SEGMENTO ORGANICOS,MIRTILO,FRUTAS/FRUTOS,8201.98,36.3760526116865%,Mar
04,SEGMENTO ORGANICOS,MIRTILO,FRUTAS/FRUTOS,10862.3,32.0689359527908%,Jan
11,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,13604,16.603038150544%,Mar
11,FLV NACIONAIS,MIRTILO,FRUTAS/FRUTOS,29060,18.204544735031%,Fev
21,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,-158,8.68339240506329%,Fev
13,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,4.5,10.8591111111111%,Mar
13,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,9,10.9587777777778%,Fev
09,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,25.4,35.0393700787402%,Mar
13,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS,27.2,24.7669485294118%,Fev
13,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,45,11.8137111111111%,Abr
16,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,107,38.3177570093458%,Mar
11,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,153.5,66.6123778501629%,Abr
21,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,158,8.68339240506329%,Jan
24,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,158,53.1645569620253%,Jan
16,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,186,19.2554623655914%,Fev
16,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,186.5,17.5435656836461%,Jan
04,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,284.39,46.6974366187278%,Abr
02,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,370,3.05315135135136%,Fev
13,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,387.8,23.2520061887571%,Abr
02,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,396.5,5.41335182849937%,Jan
04,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,477.02,51.9510355959918%,Abr
13,FLV IMPORTADOS,MILHO VERDE,FRUTAS/FRUTOS,490,24.3624224489796%,Jan
23,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,552,38.4782608695652%,Mar
13,FLV NACIONAIS,MILHO VERDE,LEGUMES,562.5,29.4305742222222%,Jan
23,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,645,25.1132093023256%,Fev
13,FLV NACIONAIS,MILHO VERDE,LEGUMES,682.5,27.0185054945055%,Abr
23,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,885.6,16.8947380307136%,Jan
13,FLV NACIONAIS,MILHO VERDE,LEGUMES,937.5,32.0272949333333%,Mar
13,FLV NACIONAIS,MILHO VERDE,LEGUMES,1051.5,33.5780722776985%,Fev
13,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,1069.1,18.2424188569825%,Fev
09,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,1148.38,54.5265669900207%,Abr
13,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,1561.7,22.8059166293142%,Mar
04,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,1575.67,43.9117175550718%,Mar
05,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,1637.3,23.910846515605%,Abr
11,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,1771.5,43.4353265594129%,Mar
13,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,2176.9,20.7704276723782%,Jan
13,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,2259.9,26.8819390238506%,Abr
04,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,2661.64,48.3585327091567%,Jan
04,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,2709.5,38.9086702343606%,Jan
04,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,2918.37,47.2355136600226%,Fev
04,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,3183.19,47.7108466663944%,Mar
04,SEGMENTO ORGANICOS,MILHO VERDE,FRUTAS/FRUTOS - ORGANICOS,3453.19,46.8385460979559%,Fev
11,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,3502,27.4585790976585%,Fev
09,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,3930.12,40.024378899372%,Fev
09,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,4366.55,40.978881496834%,Jan
11,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,5726.45,54.2760305250198%,Jan
09,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,6950.68,52.5766520685746%,Mar
13,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,8749.6,27.1239026926945%,Mar
05,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,12675.75,13.2855831804824%,Mar
05,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,13535.09,25.0190535120195%,Fev
13,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,14496.6,27.377343308086%,Fev
05,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,17701.85,25.7852180986733%,Jan
10,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,18061.2,30.1018592895267%,Abr
13,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,18811.1,24.9225501432665%,Jan
10,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,105695.2,30.4357604602669%,Mar
10,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,112000.55,31.8290850893144%,Fev
10,FLV NACIONAIS,MILHO VERDE,FRUTAS/FRUTOS,120707.75,30.1384723516096%,Jan
13,SEGMENTO ORGANICOS,MEXERICA,FRUTAS/FRUTOS - ORGANICOS,177,35.5932203389831%,Abr
13,SEGMENTO ORGANICOS,MEXERICA,FRUTAS/FRUTOS - ORGANICOS,221.25,54.8434983050848%,Mar
10,FLV NACIONAIS,MEXERICA,FRUTAS/FRUTOS,364,24.3485604395604%,Abr
11,FLV NACIONAIS,MEXERICA,FRUTAS/FRUTOS,435,44.7951724137931%,Abr
11,FLV NACIONAIS,MEXERICA,FRUTAS/FRUTOS,606,45.700198019802%,Jan
10,FLV NACIONAIS,MEXERICA,FRUTAS/FRUTOS,935,54.9485700534759%,Mar
10,FLV NACIONAIS,MEXERICA,FRUTAS/FRUTOS,1060,27.9109320754717%,Jan
11,FLV NACIONAIS,MEXERICA,FRUTAS/FRUTOS,1486.2,43.9110853182613%,Fev
11,FLV NACIONAIS,MEXERICA,FRUTAS/FRUTOS,2699.77,38.1602188334562%,Mar
10,FLV NACIONAIS,MEXERICA,FRUTAS/FRUTOS,6528,58.1484537377451%,Fev
13,SEGMENTO ORGANICOS,MELAO,FRUTAS/FRUTOS,4.8,30.3904166666667%,Jan
13,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS - ORGANICOS,53.5,10.9913457943925%,Mar
13,SEGMENTO ORGANICOS,MELAO,FRUTAS/FRUTOS,77,24.7512467532467%,Abr
13,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS - ORGANICOS,155.1,15.1154803352676%,Jan
04,SEGMENTO ORGANICOS,MELAO,FRUTAS/FRUTOS,550.15,5.39172589293828%,Jan
13,SEGMENTO ORGANICOS,MELAO,FRUTAS/FRUTOS - ORGANICOS,810.43,15.5940266278395%,Fev
12,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,900,5.55211999999999%,Mar
13,FLV IMPORTADOS,MELAO,FRUTAS/FRUTOS,1049,25.2122802669209%,Jan
21,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,1239.99,-2.68069097331429%,Abr
13,SEGMENTO ORGANICOS,MELAO,FRUTAS/FRUTOS - ORGANICOS,1255.91,21.8282432658391%,Mar
13,SEGMENTO ORGANICOS,MELAO,FRUTAS/FRUTOS - ORGANICOS,1640.65,19.9928369853412%,Jan
04,SEGMENTO ORGANICOS,MELAO,FRUTAS/FRUTOS,1780,34.4084848314607%,Fev
13,SEGMENTO ORGANICOS,MELAO,FRUTAS/FRUTOS - ORGANICOS,2000,41.185188%,Abr
16,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,2058.7,4.43215815806093%,Abr
02,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,8948.98,18.0707259374811%,Abr
16,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,9712.95,16.6898664154556%,Jan
21,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,11063,14.0214707583838%,Mar
24,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,11702.49,3.79518333277789%,Abr
15,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,14277.72,31.9868033551575%,Abr
23,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,15478.79,16.9830144991953%,Abr
16,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,16818.9,16.9355724809589%,Fev
12,FLV IMPORTADOS,MELAO,FRUTAS/FRUTOS,18440,22.1396320498915%,Abr
16,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,20122.1,20.0085449331829%,Mar
23,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,33571.58,12.3113563019673%,Jan
24,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,38912.53,40.2565989412665%,Jan
23,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,39697.37,14.0745477849036%,Fev
21,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,51400.1,28.9985429794883%,Fev
23,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,58709.18,15.3780445409048%,Mar
12,FLV IMPORTADOS,MELAO,FRUTAS/FRUTOS,58991,15.2562956044142%,Mar
04,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,61434.29,20.1389368868753%,Abr
12,FLV IMPORTADOS,MELAO,FRUTAS/FRUTOS,66826,11.3443869152725%,Jan
13,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,68727.89,17.119310792169%,Abr
24,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,73897.16,15.7704097018072%,Mar
15,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,74402.97,14.6925220861479%,Jan
24,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,75328.5,32.3594446723352%,Fev
15,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,83251.89,25.0329797677867%,Fev
05,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,85893.98,28.2580151484422%,Abr
02,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,95110.3,20.1629434982331%,Mar
12,FLV IMPORTADOS,MELAO,FRUTAS/FRUTOS,97979.16,9.41929565430039%,Fev
21,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,98371.6,27.9311572649017%,Jan
02,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,98991.78,17.3931101249013%,Fev
09,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,114787.59,29.4874341207094%,Abr
10,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,132751.74,31.6984264989671%,Abr
15,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,134805.98,19.8318635790489%,Mar
02,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,135070.94,21.4077413320733%,Jan
11,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,137153.33,20.1867332276949%,Abr
13,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,197806.15,14.5740446088254%,Jan
03,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,210379,0%,Fev
09,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,263868.42,31.7088657786333%,Jan
09,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,268158.18,26.3800573415289%,Fev
05,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,306060.74,28.3423477607746%,Fev
05,FLV NACIONAIS,MELAO,FRUTAS/FRUTOS,310799.11,28.1100499322538%,Jan
