CODFILIAL,FILIAL,SEGMENTO,FATURAMENTO,MARGEM,Mes
10,Cantu - Celso Ramos,FLV NACIONAIS,10668113.889999999,0.2705737047158868,Fev
10,Cantu - Celso Ramos,FLV NACIONAIS,10695416.11,0.2579052013092433,Mar
10,Cantu - Celso Ramos,FLV NACIONAIS,3043627.420000001,0.23722001626666733,Abr
9,Cantu - CD Cascavel,FLV NACIONAIS,5128510.960000003,0.257064692143651,Jan
9,Cantu - CD Cascavel,FLV NACIONAIS,4634221.99,0.260768696424866,Fev
9,Cantu - CD Cascavel,FLV NACIONAIS,5638594.529999996,0.2576118950983497,Mar
9,Cantu - CD Cascavel,FLV NACIONAIS,1910244.9300000004,0.2536860126461027,Abr
16,Cantu - Cascavel Box 2024,FLV NACIONAIS,340171.08,0.2002089494868794,Jan
16,Cantu - Cascavel Box 2024,FLV NACIONAIS,223757.07999999993,0.19411746527063245,Fev
16,Cantu - Cascavel Box 2024,FLV NACIONAIS,310585.7700000001,0.1995822666968552,Mar
16,Cantu - Cascavel Box 2024,FLV NACIONAIS,69885.76,0.16306401960841388,Abr
4,Cantu - Vitorino,SEGMENTO ORGANICOS,654518.6799999999,0.3188092295752635,Jan
4,Cantu - Vitorino,SEGMENTO ORGANICOS,524094.27000000014,0.3835890159477412,Fev
4,Cantu - Vitorino,SEGMENTO ORGANICOS,549330.9200000002,0.35291163438917583,Mar
4,Cantu - Vitorino,SEGMENTO ORGANICOS,152503.03999999998,0.3019202422354291,Abr
13,Cantu - Sao jose Ceasa,SEGMENTO ORGANICOS,314182.26,0.2541060294429103,Jan
13,Cantu - Sao jose Ceasa,SEGMENTO ORGANICOS,414669.1099999999,0.3349840064045283,Fev
13,Cantu - Sao jose Ceasa,SEGMENTO ORGANICOS,534192.4299999998,0.36632614636639416,Mar
13,Cantu - Sao jose Ceasa,SEGMENTO ORGANICOS,133886.86999999997,0.4321815277330776,Abr
14,Cantu - Sao Jorge - Industria 2,SEGMENTO ORGANICOS,1300.3200000000002,0.4928176371969978,Jan
19,Cantu - Osasco,SEGMENTO ORGANICOS,10059.600000000002,0.47919002743647854,Mar
15,Cantu - Londrina,SEGMENTO ORGANICOS,710.0,0.24256102816901415,Fev
15,Cantu - Londrina,SEGMENTO ORGANICOS,184.0,0.26550913043478264,Mar
23,Cantu - Foz do Iguacu,SEGMENTO ORGANICOS,650.0,0.3538461538461538,Fev
23,Cantu - Foz do Iguacu,SEGMENTO ORGANICOS,612.0,0.23529411764705888,Mar
11,Cantu - Curitiba,SEGMENTO ORGANICOS,62536.6,0.23077093989759623,Mar
11,Cantu - Curitiba,SEGMENTO ORGANICOS,10115.0,0.46296905585763715,Abr
5,Cantu - Chapecó,SEGMENTO ORGANICOS,3103.3499999999985,0.27272328498983955,Jan
5,Cantu - Chapecó,SEGMENTO ORGANICOS,4449.85,0.26301587740518484,Fev
5,Cantu - Chapecó,SEGMENTO ORGANICOS,-827.6300000000028,0.2378579196017574,Mar
5,Cantu - Chapecó,SEGMENTO ORGANICOS,2318.06,0.26259054115587455,Abr
10,Cantu - Celso Ramos,SEGMENTO ORGANICOS,2953.2599999999998,0.33235850551593815,Jan
10,Cantu - Celso Ramos,SEGMENTO ORGANICOS,2913.3199999999997,0.39028039144343907,Fev
10,Cantu - Celso Ramos,SEGMENTO ORGANICOS,5513.169999999999,0.34984033686608595,Mar
9,Cantu - CD Cascavel,SEGMENTO ORGANICOS,415.31,0.20903752942160314,Jan
9,Cantu - CD Cascavel,SEGMENTO ORGANICOS,7985.299999999999,0.2811157541892374,Fev
9,Cantu - CD Cascavel,SEGMENTO ORGANICOS,26565.319999999996,0.4217306141247378,Mar
9,Cantu - CD Cascavel,SEGMENTO ORGANICOS,8982.300000000001,0.3516914253587611,Abr
16,Cantu - Cascavel Box 2024,SEGMENTO ORGANICOS,1388.0,0.1794887896253603,Fev
16,Cantu - Cascavel Box 2024,SEGMENTO ORGANICOS,5886.0,0.21077908256880729,Mar
