CODFILIAL,FILIAL,SEGMENTO,FATURAMENTO,MARGEM,Mes
09,Cantu - CD Cascavel,FLV NACIONAIS,5128510.96,25.7064692143651%,Jan
09,Cantu - CD Cascavel,FLV NACIONAIS,4634221.99,26.0768696424866%,Fev
09,Cantu - CD Cascavel,FLV NACIONAIS,5638594.52999999,25.7611895092884%,Mar
09,Cantu - CD Cascavel,FLV NACIONAIS,1419836.56,14.1599019110484%,Abr
16,Cantu - Cascavel Box 2024,FLV NACIONAIS,340171.08,20.0208949486879%,Jan
16,Cantu - Cascavel Box 2024,FLV NACIONAIS,223757.08,19.4117465270632%,Fev
16,Cantu - Cascavel Box 2024,FLV NACIONAIS,310585.77,19.9582266696855%,Mar
16,Cantu - Cascavel Box 2024,FLV NACIONAIS,61492.46,14.931010213211%,Abr
04,Cantu - Vitorino,SEGMENTO ORGANICOS,654518.68,31.8809229575263%,Jan
04,Cantu - Vitorino,SEGMENTO ORGANICOS,524094.27,38.3589015947741%,Fev
04,Cantu - Vitorino,SEGMENTO ORGANICOS,549330.92,35.3333368808979%,Mar
04,Cantu - Vitorino,SEGMENTO ORGANICOS,92652.32,34.0636641588652%,Abr
13,Cantu - Sao jose Ceasa,SEGMENTO ORGANICOS,314182.26,25.410602944291%,Jan
13,Cantu - Sao jose Ceasa,SEGMENTO ORGANICOS,414669.11,33.4984006404528%,Fev
13,Cantu - Sao jose Ceasa,SEGMENTO ORGANICOS,534192.43,36.6326146366394%,Mar
13,Cantu - Sao jose Ceasa,SEGMENTO ORGANICOS,71974.78,35.6574938193629%,Abr
14,Cantu - Sao Jorge - Industria 2,SEGMENTO ORGANICOS,1300.32,49.2817637196998%,Jan
19,Cantu - Osasco,SEGMENTO ORGANICOS,10059.6,47.9190027436479%,Mar
15,Cantu - Londrina,SEGMENTO ORGANICOS,710,24.2561028169014%,Fev
15,Cantu - Londrina,SEGMENTO ORGANICOS,184,26.5509130434783%,Mar
23,Cantu - Foz do Iguacu,SEGMENTO ORGANICOS,650,35.3846153846154%,Fev
23,Cantu - Foz do Iguacu,SEGMENTO ORGANICOS,612,23.5294117647059%,Mar
11,Cantu - Curitiba,SEGMENTO ORGANICOS,62536.6,23.0770939897596%,Mar
11,Cantu - Curitiba,SEGMENTO ORGANICOS,9143,20.9555780378431%,Abr
05,Cantu - Chapecó,SEGMENTO ORGANICOS,3103.35,27.272328498984%,Jan
05,Cantu - Chapecó,SEGMENTO ORGANICOS,4449.85,26.3015877405185%,Fev
05,Cantu - Chapecó,SEGMENTO ORGANICOS,-827.630000000003,23.7857919601757%,Mar
05,Cantu - Chapecó,SEGMENTO ORGANICOS,2100,27.0138333333333%,Abr
10,Cantu - Celso Ramos,SEGMENTO ORGANICOS,2953.26,33.2358505515938%,Jan
10,Cantu - Celso Ramos,SEGMENTO ORGANICOS,2913.32,39.0280391443439%,Fev
10,Cantu - Celso Ramos,SEGMENTO ORGANICOS,5513.17,34.9840351376794%,Mar
09,Cantu - CD Cascavel,SEGMENTO ORGANICOS,415.31,20.9037529421603%,Jan
09,Cantu - CD Cascavel,SEGMENTO ORGANICOS,7985.3,28.1115754189237%,Fev
09,Cantu - CD Cascavel,SEGMENTO ORGANICOS,26565.32,42.1730614124738%,Mar
09,Cantu - CD Cascavel,SEGMENTO ORGANICOS,2543.5,24.3146160802044%,Abr
16,Cantu - Cascavel Box 2024,SEGMENTO ORGANICOS,1388,17.948878962536%,Fev
16,Cantu - Cascavel Box 2024,SEGMENTO ORGANICOS,5886,21.0779082568807%,Mar
