CODFILIAL,SEGMENTO,FATURAMENTO,MARGEM,CLIENTE,Mes
11,FLV NACIONAIS,2825,11.5249079646018%,MERCADO CATAO,Jan
12,FLV IMPORTADOS,2825,17.4077918584071%,HERNANDES ACRE,Fev
11,FLV NACIONAIS,2823,12.5365324123273%,MERCADO SAO JORGE,Fev
23,FLV NACIONAIS,2817.5,14.7421242236025%,HUBNER FRUTAS,Fev
05,FLV NACIONAIS,2815.75,18.3221795258812%,GOURMET EXPRESS SERV,Fev
09,FLV NACIONAIS,2815.7,24.1750207763611%,MERCADO MOLINARI,Fev
05,FLV NACIONAIS,2815.7,39.7916056398054%,MERCEARIA VITORIA,Fev
24,FLV NACIONAIS,2815,29.2425765541741%,BOM DIA SUPERMERCADO,Mar
09,FLV NACIONAIS,2814,23.8186691542289%,SUPERMERCADO PREMIUM,Abr
15,FLV NACIONAIS,2814,12.0197430703625%,SHIKI HORTIFRUTI,Fev
05,FLV NACIONAIS,2813.5,38.0624428647592%,COQUEIROS SUPERMERCA,Fev
14,ALIMENTOS INDUSTRIALIZADOS,2813.2,55.4214947390872%,UNIAO SUPERMERCADO,Fev
04,FLV NACIONAIS,2812.5,33.9563754666667%,MERCADO MEZOMO,Mar
04,FLV NACIONAIS,2810.4,32.283858881298%,SUPER DA HORA,Jan
05,FLV NACIONAIS,2810,28.144071886121%,CHURRASCARIA NATIVA,Jan
10,FLV NACIONAIS,2808.7,22.9146423612347%,PEKA SUPERMERCADOS,Abr
05,FLV NACIONAIS,2806.05,32.6510600310044%,ACV COMERCIO,Mar
11,FLV NACIONAIS,2803.5,27.8746299268771%,ORLANDO IVO DONDA,Abr
05,FLV NACIONAIS,2802.8,33.3515777080063%,SULZBACH MERCADO,Mar
09,FLV NACIONAIS,2802.26,26.2152808804322%,MERCEARIA JORDAO,Fev
05,FLV NACIONAIS,2801.15,27.6467404458883%,MERCADO GARIBOM,Jan
05,FLV NACIONAIS,2800.8,33.0261500285633%,SUPERMERCADOS POMPEI,Fev
02,FLV NACIONAIS,2800.72,20.8311759119084%,BELA VISTA,Jan
09,FLV NACIONAIS,2800.24,23.2860458389281%,BOM PRECO,Jan
04,FLV NACIONAIS,2799,17.5490450160772%,PANIFICADORA FORNELL,Jan
04,FLV NACIONAIS,2799,27.6116666666667%,COMERCIAL SENDESKI,Jan
15,FLV NACIONAIS,2799,24.9518806716684%,ELISA,Mar
14,ALIMENTOS INDUSTRIALIZADOS,2796.24,38.8933929133408%,SUPER SALES,Mar
05,FLV NACIONAIS,2796.1,32.3073441579343%,IDEAL SUPERMERCADO,Jan
05,FLV NACIONAIS,2795.7,37.965801051615%,MINIMERCADO WENDY EI,Mar
05,FLV NACIONAIS,2795.16,38.3225843958843%,MERCADO MARIN,Jan
09,FLV NACIONAIS,2794.44,31.7485113296403%,SUPER BARATAO,Mar
05,FLV NACIONAIS,2790,-0.946458333333355%,BRASAO AVENIDA,Abr
13,FLV NACIONAIS,2788.84,19.113428880825%,ATACADO SUPER LTDA,Fev
09,FLV NACIONAIS,2787.35,28.3739013758588%,SANTIM COMERCIO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,2787.3,52.0691411042945%,SUPER UNIMAX,Fev
04,FLV NACIONAIS,2785.5,28.9380061030336%,SUPERMERCADO MORONI,Jan
09,FLV NACIONAIS,2785.19,20.5697022465254%,MERCADO ARAPONGAS,Mar
11,FLV NACIONAIS,2785,20.8056850987433%,SUPERMERCADO CAVALIN,Abr
11,FLV NACIONAIS,2785,45.0779256732495%,MERCADO SANTA HELENA,Fev
05,FLV NACIONAIS,2784.96,38.2074618665977%,MERCADO SARACINI,Fev
04,FLV NACIONAIS,2784.25,29.6530164317141%,RODRIGO MENUSSI,Mar
02,FLV NACIONAIS,2783.9,21.0365142426093%,QUALITTA FOOD SERVIC,Jan
09,FLV NACIONAIS,2783.2,22.3914001868353%,VITORELA SUPERMERCAD,Fev
05,FLV NACIONAIS,2780.38,30.2973259050921%,CHURRASCARIA BORDIGN,Fev
09,FLV NACIONAIS,2780.3,27.8672844657051%,LAR SAO ROQUE,Jan
